"Service Request Number","Service Request Type","City Department","Created Date","Method Received","Status","Location","X_Value","Y_Value","Latitude","Longitude","Latitude/Longitude","ZIP Code","Council District","Police Precinct","Community Reporting Area"
"25-00047013","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 01:47:56 PM","Find It Fix It Apps","Closed","6520 NE 65TH ST, SEATTLE, WA 98115","1289552.61437295","250158.011747232","47.67689659","-122.25765787","POINT (-122.25765787 47.67689659)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00047019","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 01:50:02 PM","Find It Fix It Apps","Closed","6520 NE 65TH ST, SEATTLE, WA 98115","1289552.61437295","250158.011747232","47.67689659","-122.25765787","POINT (-122.25765787 47.67689659)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00047014","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 01:47:59 PM","Find It Fix It Apps","Closed","6520 NE 65TH ST, SEATTLE, WA 98115","1289552.61437295","250158.011747232","47.67689659","-122.25765787","POINT (-122.25765787 47.67689659)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00051375","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 08:30:30 AM","Find It Fix It Apps","Closed","2806 3RD AVE W, SEATTLE, WA 98119","1264185.43623621","239174.211553295","47.64545703","-122.35972496","POINT (-122.35972496 47.64545703)","98119","7","WEST","QUEEN ANNE"
"25-00050017","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 11:30:13 AM","Find It Fix It Apps","Closed","7298 LAKE SHORE DR NE, SEATTLE, WA 98115","1292087.75073522","251545.497606977","47.68082788","-122.24747235","POINT (-122.24747235 47.68082788)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00050090","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 12:34:43 PM","Find It Fix It Apps","Closed","6601 E GREEN LAKE WAY N, SEATTLE, WA 98103","1271124.57768179","250729.522879322","47.67750356","-122.3324928","POINT (-122.3324928 47.67750356)","98103","6","NORTH","GREEN LAKE"
"25-00050083","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 12:30:38 PM","Find It Fix It Apps","Closed","7017 LAKE SHORE DR NE, SEATTLE, WA 98115","1291496.94752529","250844.771426862","47.67887739","-122.24981799","POINT (-122.24981799 47.67887739)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00050087","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 12:32:42 PM","Find It Fix It Apps","Closed","6860 E GREEN LAKE WAY N, SEATTLE, WA 98115","1272485.83072378","250998.406177244","47.67831312","-122.32698929","POINT (-122.32698929 47.67831312)","98115","6","NORTH","GREEN LAKE"
"25-00050089","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 12:32:47 PM","Find It Fix It Apps","Closed","6669 E GREEN LAKE WAY N, SEATTLE, WA 98103","1271626.34854593","251083.569873367","47.67850077","-122.3304843","POINT (-122.3304843 47.67850077)","98103","6","NORTH","GREEN LAKE"
"25-00050120","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 01:02:59 PM","Find It Fix It Apps","Closed","5118 AURORA AVE N, SEATTLE, WA 98103","1267422.99954158","246567.497737385","47.66589698","-122.34718335","POINT (-122.34718335 47.66589698)","98103","6","NORTH","GREEN LAKE"
"25-00050123","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 01:06:55 PM","Find It Fix It Apps","Closed","1800 2ND AVE W, SEATTLE, WA 98119","1263986.37949206","235493.298631293","47.63535701","-122.36023607","POINT (-122.36023607 47.63535701)","98119","7","WEST","QUEEN ANNE"
"25-00050156","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 01:27:13 PM","Find It Fix It Apps","Closed","4225 WALLINGFORD AVE N, SEATTLE, WA 98103","1269916.75034507","243908.790514458","47.65874359","-122.33685388","POINT (-122.33685388 47.65874359)","98103","4","NORTH","WALLINGFORD"
"25-00054852","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 01:44:54 PM","Citizen Web Intake App","Closed","4522 CASCADIA AVE S, SEATTLE, WA 98118","1282648.34972861","208420.210550012","47.56213947","-122.2824888","POINT (-122.2824888 47.56213947)","98118","2","SOUTH","COLUMBIA CITY"
"25-00050158","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 01:29:08 PM","Find It Fix It Apps","Closed","5954 39TH AVE S, SEATTLE, WA 98118","1282482.31864642","203379.251322127","47.5483136","-122.28277663","POINT (-122.28277663 47.5483136)","98118","2","SOUTH","COLUMBIA CITY"
"25-00055052","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 03:02:29 PM","Find It Fix It Apps","Closed","8503 SEAVIEW AVE NW, SEATTLE, WA 98117","1253636.25101809","256284.858692113","47.69177423","-122.40392846","POINT (-122.40392846 47.69177423)","98117","6","NORTH","SUNSET HILL/LOYAL HEIGHTS"
"25-00050184","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 02:05:24 PM","Find It Fix It Apps","Closed","1554 NW 50TH ST, SEATTLE, WA 98107","1259663.73677096","246481.776827417","47.66523925","-122.3786601","POINT (-122.3786601 47.66523925)","98107","6","NORTH","BALLARD"
"25-00050213","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 02:39:39 PM","Find It Fix It Apps","Closed","1554 NW 50TH ST, SEATTLE, WA 98107","1259663.73677096","246481.776827417","47.66523925","-122.3786601","POINT (-122.3786601 47.66523925)","98107","6","NORTH","BALLARD"
"25-00050228","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 02:55:47 PM","Find It Fix It Apps","Closed","6673 NE WINDERMERE RD, SEATTLE, WA 98115","1290654.37355741","248965.890217727","47.67368478","-122.25309705","POINT (-122.25309705 47.67368478)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00047156","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 03:14:36 PM","Find It Fix It Apps","Closed","2030 S NYE PL, SEATTLE, WA 98144","1277374.88862462","220645.654048398","47.59537506","-122.30479074","POINT (-122.30479074 47.59537506)","98144","3","EAST","JUDKINS PARK"
"25-00048870","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 08:13:48 AM","Citizen Web Intake App","Closed","2025 14TH AVE S, SEATTLE, WA 98144","1274760.90064077","217081.84316296","47.58546921","-122.31510489","POINT (-122.31510489 47.58546921)","98144","2","SOUTH","NORTH BEACON HILL/JEFFERSON PARK"
"25-00048879","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 08:19:46 AM","Find It Fix It Apps","Closed","1115 E HIGHLAND DR, SEATTLE, WA 98112","1274561.74966785","233453.566572236","47.63033327","-122.31719079","POINT (-122.31719079 47.63033327)","98112","3","EAST","NORTH CAPITOL HILL"
"25-00048897","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 08:41:55 AM","Find It Fix It Apps","Closed","2806 3RD AVE W, SEATTLE, WA 98119","1264185.43623621","239174.211553295","47.64545703","-122.35972496","POINT (-122.35972496 47.64545703)","98119","7","WEST","QUEEN ANNE"
"25-00051585","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 09:41:03 AM","Find It Fix It Apps","Closed","1800 2ND AVE W, SEATTLE, WA 98119","1263986.37949206","235493.298631293","47.63535701","-122.36023607","POINT (-122.36023607 47.63535701)","98119","7","WEST","QUEEN ANNE"
"25-00055080","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 03:13:42 PM","Find It Fix It Apps","Closed","8501 14TH AVE NE, SEATTLE, WA 98115","1275853.46036219","255346.00888208","47.69040815","-122.31366088","POINT (-122.31366088 47.69040815)","98115","5","NORTH","NORTHGATE/MAPLE LEAF"
"25-00055097","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 03:22:04 PM","Citizen Web Intake App","Closed","7226 12TH AVE SW, SEATTLE, WA 98106","1265820.26121705","199678.69018301","47.53729021","-122.34993671","POINT (-122.34993671 47.53729021)","98106","1","SOUTHWEST","RIVERVIEW"
"25-00050376","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 05:14:51 PM","Find It Fix It Apps","Closed","8749 1ST AVE NW, SEATTLE, WA 98117","1264885.57419064","256908.71542243","47.69410439","-122.35831078","POINT (-122.35831078 47.69410439)","98117","5","NORTH","GREENWOOD/PHINNEY RIDGE"
"25-00055346","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 05:57:53 PM","Find It Fix It Apps","Closed","4172 SW STEVENS ST, SEATTLE, WA 98116","1257382.30508448","214485.713866626","47.57741431","-122.38529855","POINT (-122.38529855 47.57741431)","98116","1","SOUTHWEST","WEST SEATTLE JUNCTION/GENESEE HILL"
"25-00050402","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 05:49:04 PM","Find It Fix It Apps","Closed","7705 FAUNTLEROY WAY SW, SEATTLE, WA 98136","1254802.25446195","198666.08052822","47.53391073","-122.39444936","POINT (-122.39444936 47.53391073)","98136","1","SOUTHWEST","FAUNTLEROY/SEAVIEW"
"25-00050435","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/22/2025 07:35:53 PM","Find It Fix It Apps","Closed","4021 S HENDERSON ST, SEATTLE, WA 98118","1282648.99869123","194088.172085411","47.5228553","-122.28139395","POINT (-122.28139395 47.5228553)","98118","2","SOUTH","SOUTH BEACON HILL/NEWHOLLY"
"25-00050536","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 08:11:38 AM","Find It Fix It Apps","Closed","116 NW 81ST ST, SEATTLE, WA 98117","1264708.00768395","254620.082642697","47.68782173","-122.35884746","POINT (-122.35884746 47.68782173)","98117","6","NORTH","GREENWOOD/PHINNEY RIDGE"
"25-00050543","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 08:25:55 AM","Find It Fix It Apps","Closed","347 NW 105TH ST, SEATTLE, WA 98177","1263855.67963692","260877.395390625","47.70492628","-122.3628122","POINT (-122.3628122 47.70492628)","98177","5","NORTH","NORTH BEACH/BLUE RIDGE"
"25-00050534","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 08:03:38 AM","Find It Fix It Apps","Closed","2826 S ATLANTIC ST, SEATTLE, WA 98144","1279639.31981019","218510.35426499","47.58964054","-122.2954505","POINT (-122.2954505 47.58964054)","98144","2","SOUTH","MT. BAKER/NORTH RAINIER"
"25-00050600","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 09:40:26 AM","Find It Fix It Apps","Closed","2806 3RD AVE W, SEATTLE, WA 98119","1264185.43623621","239174.211553295","47.64545703","-122.35972496","POINT (-122.35972496 47.64545703)","98119","7","WEST","QUEEN ANNE"
"25-00050625","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 10:04:30 AM","Find It Fix It Apps","Closed","1887 1ST AVE W, SEATTLE, WA 98119","1264434.76035411","235552.378025913","47.63554332","-122.35842254","POINT (-122.35842254 47.63554332)","98119","7","WEST","QUEEN ANNE"
"25-00053392","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 01:32:53 PM","Find It Fix It Apps","Closed","7351 E GREEN LAKE DR N, SEATTLE, WA 98115","1272086.38435441","251719.774480123","47.6802691","-122.32866738","POINT (-122.32866738 47.6802691)","98115","6","NORTH","GREEN LAKE"
"25-00053425","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 01:49:02 PM","Find It Fix It Apps","Closed","4501 DELRIDGE WAY SW, SEATTLE, WA 98106","1262426.2140887","209199.4277149","47.56320188","-122.36444116","POINT (-122.36444116 47.56320188)","98106","1","SOUTHWEST","NORTH DELRIDGE"
"25-00053460","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 02:17:09 PM","Find It Fix It Apps","Closed","7147 LAKE SHORE DR NE, SEATTLE, WA 98115","1291747.03538613","251184.207872538","47.67982041","-122.2488283","POINT (-122.2488283 47.67982041)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00047273","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 04:39:12 PM","Find It Fix It Apps","Closed","4701 25TH AVE SW, SEATTLE, WA 98106","1262401.03221143","208378.564475958","47.56095056","-122.36447699","POINT (-122.36447699 47.56095056)","98106","1","SOUTHWEST","NORTH DELRIDGE"
"25-00047267","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 04:37:11 PM","Find It Fix It Apps","Closed","1945 14TH AVE S, SEATTLE, WA 98144","1274841.4878287","217271.528203401","47.58599339","-122.31479319","POINT (-122.31479319 47.58599339)","98144","2","SOUTH","NORTH BEACON HILL/JEFFERSON PARK"
"25-00047300","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/19/2025 04:57:29 PM","Find It Fix It Apps","Closed","2950 E MADISON ST, SEATTLE, WA 98112","1280175.80215917","231460.901780802","47.62516586","-122.29427307","POINT (-122.29427307 47.62516586)","98112","3","EAST","MONTLAKE/PORTAGE BAY"
"25-00049151","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 11:31:19 AM","Find It Fix It Apps","Closed","5900 W GREEN LAKE WAY N, SEATTLE, WA 98103","1268440.6278803","248792.79349806","47.67205122","-122.3432314","POINT (-122.3432314 47.67205122)","98103","6","NORTH","GREEN LAKE"
"25-00049195","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 12:01:27 PM","Find It Fix It Apps","Closed","7477 E GREEN LAKE DR N, SEATTLE, WA 98115","1271769.76143339","252580.589032592","47.68261169","-122.33002043","POINT (-122.33002043 47.68261169)","98115","6","NORTH","GREEN LAKE"
"25-00051711","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 10:59:45 AM","Find It Fix It Apps","Closed","1205 NE 88TH ST, SEATTLE, WA 98115","1275628.80986987","255860.198529277","47.69180568","-122.31461304","POINT (-122.31461304 47.69180568)","98115","5","NORTH","NORTHGATE/MAPLE LEAF"
"25-00051746","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 11:18:10 AM","Citizen Web Intake App","Closed","1834 3RD AVE W, SEATTLE, WA 98119","1264357.3763738","235364.951455617","47.63502539","-122.35872128","POINT (-122.35872128 47.63502539)","98119","7","WEST","QUEEN ANNE"
"25-00051858","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 12:07:10 PM","Citizen Web Intake App","Closed","13254 EDGEWATER LN NE, SEATTLE, WA 98125","1284254.54436337","268233.686054653","47.72617112","-122.28053997","POINT (-122.28053997 47.72617112)","98125","5","NORTH","CEDAR PARK/MEADOWBROOK"
"25-00055374","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 06:36:09 PM","Find It Fix It Apps","Closed","1554 NW 50TH ST, SEATTLE, WA 98107","1259663.73677096","246481.776827417","47.66523925","-122.3786601","POINT (-122.3786601 47.66523925)","98107","6","NORTH","BALLARD"
"25-00050607","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 09:46:23 AM","Find It Fix It Apps","Closed","940 WESTLAKE AVE N, SEATTLE, WA 98109","1268994.37537055","232810.02970861","47.62827285","-122.33971449","POINT (-122.33971449 47.62827285)","98109","7","WEST","QUEEN ANNE"
"25-00055371","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 06:34:08 PM","Find It Fix It Apps","Closed","300 19TH AVE E, SEATTLE, WA 98112","1277150.93724895","229983.309651272","47.62095772","-122.30642259","POINT (-122.30642259 47.62095772)","98112","3","EAST","MILLER PARK"
"25-00052034","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 02:14:07 PM","Find It Fix It Apps","Closed","6520 NE 65TH ST, SEATTLE, WA 98115","1289552.61437295","250158.011747232","47.67689659","-122.25765787","POINT (-122.25765787 47.67689659)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00055410","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/26/2025 07:32:37 PM","Find It Fix It Apps","Closed","1010 E PINE ST, SEATTLE, WA 98122","1274019.62423177","228188.593656104","47.61587342","-122.31897685","POINT (-122.31897685 47.61587342)","98122","3","EAST","CAPITOL HILL"
"25-00055500","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 01:14:12 AM","Find It Fix It Apps","Closed","1220 5TH AVE N, SEATTLE, WA 98109","1267132.12622814","233657.498895017","47.63049555","-122.3473329","POINT (-122.3473329 47.63049555)","98109","7","WEST","QUEEN ANNE"
"25-00052072","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 02:30:15 PM","Find It Fix It Apps","Closed","7252 SPORTSFIELD DR NE, SEATTLE, WA 98115","1289002.57427976","251684.119627814","47.68105175","-122.26000507","POINT (-122.26000507 47.68105175)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00052113","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 03:12:41 PM","Find It Fix It Apps","Closed","6520 NE 65TH ST, SEATTLE, WA 98115","1289552.61437295","250158.011747232","47.67689659","-122.25765787","POINT (-122.25765787 47.67689659)","98115","4","NORTH","LAURELHURST/SAND POINT"
"25-00050660","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 10:34:48 AM","Find It Fix It Apps","Closed","731 OREGON AVE, SEATTLE, WA 98199","1250725.05886465","243223.095861675","47.65580969","-122.41465687","POINT (-122.41465687 47.65580969)","98199","6","WEST","MAGNOLIA"
"25-00050698","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 11:11:07 AM","Find It Fix It Apps","Closed","3033 ALASKAN WAY, SEATTLE, WA 98121","1264419.46553018","228754.233728269","47.61690911","-122.35793834","POINT (-122.35793834 47.61690911)","98121","7","WEST","BELLTOWN"
"25-00050699","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 11:13:01 AM","Find It Fix It Apps","Closed","1001 LAKE WASHINGTON BLVD E, SEATTLE, WA 98112","1280268.37432072","232032.374917423","47.62673708","-122.29394172","POINT (-122.29394172 47.62673708)","98112","3","EAST","MONTLAKE/PORTAGE BAY"
"25-00050708","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 11:19:06 AM","Find It Fix It Apps","Closed","4401 W POINT AVE W, SEATTLE, WA 98199","1245569.43899777","245574.767220707","47.66196304","-122.43577045","POINT (-122.43577045 47.66196304)","98199","6","WEST","MAGNOLIA"
"25-00050685","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 10:58:56 AM","Find It Fix It Apps","Closed","1423 DISCOVERY PARK BLVD, SEATTLE, WA 98199","1246953.17395277","244979.921769121","47.66041147","-122.43010627","POINT (-122.43010627 47.66041147)","98199","6","WEST","MAGNOLIA"
"25-00050761","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 12:31:37 PM","Find It Fix It Apps","Closed","3920 S JUNEAU ST, SEATTLE, WA 98118","1282582.24217138","203956.899482428","47.5499021","-122.28241613","POINT (-122.28241613 47.5499021)","98118","2","SOUTH","COLUMBIA CITY"
"25-00053657","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 03:56:01 PM","Find It Fix It Apps","Closed","4219 36TH AVE W, SEATTLE, WA 98199","1252987.20329159","243961.193865798","47.65795981","-122.40554109","POINT (-122.40554109 47.65795981)","98199","6","WEST","MAGNOLIA"
"25-00053747","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 04:54:23 PM","Find It Fix It Apps","Closed","1500 28TH AVE S, SEATTLE, WA 98144","1279290.21210377","218445.730552362","47.58944521","-122.29686","POINT (-122.29686 47.58944521)","98144","2","SOUTH","MT. BAKER/NORTH RAINIER"
"25-00053753","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 04:56:23 PM","Find It Fix It Apps","Closed","794 29TH AVE E, SEATTLE, WA 98112","1280014.23642551","231710.928161707","47.62584277","-122.29494739","POINT (-122.29494739 47.62584277)","98112","3","EAST","MONTLAKE/PORTAGE BAY"
"25-00047602","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/20/2025 07:58:36 AM","Find It Fix It Apps","Closed","6438 CORSON AVE S, SEATTLE, WA 98108","1272771.74967034","202271.469095868","47.54476902","-122.32200281","POINT (-122.32200281 47.54476902)","98108","1","SOUTH","GEORGETOWN"
"25-00049373","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 01:58:21 PM","Find It Fix It Apps","Closed","1912 14TH AVE S, SEATTLE, WA 98144","1274934.37579531","217247.79369475","47.58593324","-122.31441502","POINT (-122.31441502 47.58593324)","98144","2","SOUTH","NORTH BEACON HILL/JEFFERSON PARK"
"25-00049363","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 01:44:12 PM","Find It Fix It Apps","Closed","1800 2ND AVE W, SEATTLE, WA 98119","1263986.37949206","235493.298631293","47.63535701","-122.36023607","POINT (-122.36023607 47.63535701)","98119","7","WEST","QUEEN ANNE"
"25-00055602","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 07:57:15 AM","Find It Fix It Apps","Closed","4100 S SNOQUALMIE ST, SEATTLE, WA 98118","1282823.84123524","208147.123348923","47.56139999","-122.28175732","POINT (-122.28175732 47.56139999)","98118","2","SOUTH","COLUMBIA CITY"
"25-00049518","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 03:44:10 PM","Find It Fix It Apps","Closed","4091 S JUNEAU ST, SEATTLE, WA 98118","1282745.10343902","203852.968576121","47.54962563","-122.28174884","POINT (-122.28174884 47.54962563)","98118","2","SOUTH","COLUMBIA CITY"
"25-00052305","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/24/2025 05:35:52 PM","Citizen Web Intake App","Closed","2001 NW CANOE PL, SEATTLE, WA 98117","1259027.50871582","251647.449344289","47.67936294","-122.38166337","POINT (-122.38166337 47.67936294)","98117","6","NORTH","WHITTIER HEIGHTS"
"25-00050815","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 01:12:04 PM","Find It Fix It Apps","Closed","2490 SW ALASKA ST, SEATTLE, WA 98106","1262498.32609343","208458.270717156","47.56117434","-122.36408942","POINT (-122.36408942 47.56117434)","98106","1","SOUTHWEST","NORTH DELRIDGE"
"25-00050814","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/23/2025 01:12:03 PM","Find It Fix It Apps","Closed","6921 31ST AVE SW, SEATTLE, WA 98126","1260164.44106617","200906.451462773","47.54034758","-122.37292842","POINT (-122.37292842 47.54034758)","98126","1","SOUTHWEST","HIGH POINT"
"25-00047665","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/20/2025 08:38:54 AM","Find It Fix It Apps","Closed","2820 3RD AVE W, SEATTLE, WA 98119","1263946.24563769","239235.169964516","47.6456111","-122.36070002","POINT (-122.36070002 47.6456111)","98119","7","WEST","QUEEN ANNE"
"25-00055607","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 07:59:26 AM","Find It Fix It Apps","Closed","6622 57TH AVE S, SEATTLE, WA 98118","1287942.50316521","201125.977126179","47.5424171","-122.2605017","POINT (-122.2605017 47.5424171)","98118","2","SOUTH","SEWARD PARK"
"25-00055616","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 08:03:25 AM","Find It Fix It Apps","Closed","2025 14TH AVE S, SEATTLE, WA 98144","1274760.90064077","217081.84316296","47.58546921","-122.31510489","POINT (-122.31510489 47.58546921)","98144","2","SOUTH","NORTH BEACON HILL/JEFFERSON PARK"
"25-00056732","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 09:10:19 PM","Find It Fix It Apps","Closed","650 WASHINGTON AVE, SEATTLE, WA 98199","1251134.16273113","243897.378195281","47.65768087","-122.4130534","POINT (-122.4130534 47.65768087)","98199","6","WEST","MAGNOLIA"
"25-00049605","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/21/2025 05:06:46 PM","Citizen Web Intake App","Closed","4331 48TH AVE NE, SEATTLE, WA 98105","1284722.67027323","244114.241250917","47.66008386","-122.27680021","POINT (-122.27680021 47.66008386)","98105","4","NORTH","LAURELHURST/SAND POINT"
"25-00058369","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","03/01/2025 02:10:21 PM","Find It Fix It Apps","Closed","4240 WOODLAWN AVE N, SEATTLE, WA 98103","1269513.23480956","243818.467739629","47.65847439","-122.3384838","POINT (-122.3384838 47.65847439)","98103","4","NORTH","WALLINGFORD"
"25-00053882","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/25/2025 07:19:30 PM","Find It Fix It Apps","Closed","6921 31ST AVE SW, SEATTLE, WA 98126","1260164.44106617","200906.451462773","47.54034758","-122.37292842","POINT (-122.37292842 47.54034758)","98126","1","SOUTHWEST","HIGH POINT"
"25-00055626","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 08:11:30 AM","Citizen Web Intake App","Closed","2025 14TH AVE S, SEATTLE, WA 98144","1274760.90064077","217081.84316296","47.58546921","-122.31510489","POINT (-122.31510489 47.58546921)","98144","2","SOUTH","NORTH BEACON HILL/JEFFERSON PARK"
"25-00056730","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 08:44:06 PM","Find It Fix It Apps","Closed","1201 NE 88TH ST, SEATTLE, WA 98115","1275586.42212426","255866.285403468","47.69182013","-122.3147856","POINT (-122.3147856 47.69182013)","98115","5","NORTH","NORTHGATE/MAPLE LEAF"
"25-00055636","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 08:15:27 AM","Find It Fix It Apps","Closed","9009 2ND AVE NW, SEATTLE, WA 98117","1264558.59430024","257122.379144823","47.69467226","-122.35965546","POINT (-122.35965546 47.69467226)","98117","5","NORTH","GREENWOOD/PHINNEY RIDGE"
"25-00055797","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/27/2025 09:40:02 AM","Citizen Web Intake App","Closed","4544 NE 41ST ST, SEATTLE, WA 98105","1284438.3238892","243778.262398841","47.65914832","-122.27792827","POINT (-122.27792827 47.65914832)","98105","4","NORTH","LAURELHURST/SAND POINT"
"25-00056784","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/28/2025 12:11:44 AM","Find It Fix It Apps","Closed","602 N 87TH ST, SEATTLE, WA 98103","1266715.73235962","256519.998973607","47.69313812","-122.35084958","POINT (-122.35084958 47.69313812)","98103","5","NORTH","GREENWOOD/PHINNEY RIDGE"
"25-00056834","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","02/28/2025 07:31:04 AM","Find It Fix It Apps","Closed","3701 S OREGON ST, SEATTLE, WA 98118","1281777.79753466","208477.09280728","47.56225039","-122.28601852","POINT (-122.28601852 47.56225039)","98118","2","SOUTH","COLUMBIA CITY"
"25-00058400","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","03/01/2025 02:38:19 PM","Find It Fix It Apps","Closed","1020 NE 82ND ST, SEATTLE, WA 98115","1275090.57061039","254983.196224447","47.68937342","-122.31672947","POINT (-122.31672947 47.68937342)","98115","5","NORTH","NORTHGATE/MAPLE LEAF"
"25-00058548","Nuisance Dogs in a Park","FAS-Finance and Administrative Services","03/01/2025 05:18:46 PM","Find It Fix It Apps","Closed","3824 SW 105TH ST, SEATTLE, WA 98146","1258003.47154366","189599.580352334","47.5092373","-122.38075516","POINT (-122.38075516 47.5092373)","98146","1","SOUTHWEST","ARBOR HEIGHTS"
