location_raw,lat,lng,match_quality,census_geoid
7929 12th Avenue SW,47.531613389425,-122.350677981224,Exact,R
7937 10th Avenue SW,47.531558733031,-122.348138160671,Exact,R
8 W Crockett Street 306,47.637222680228,-122.357100809377,Non_Exact,R
8 W Crockett Street 314,47.637222680228,-122.357100809377,Non_Exact,R
8040 Stroud Avenue N,47.687300019489,-122.33427851058,Exact,R
8137 31st Avenue SW,47.529830498811,-122.372674626795,Exact,R
8214 SE 72nd Street,,,Nominatim_NoMatch,
8307 Dibble Avenue NW,47.689205066409,-122.367355196205,Exact,L
8316 11th Avenue NW,47.688945146341,-122.370316965566,Exact,R
832 SW 97th Street,47.516387039432,-122.346486329348,Exact,R
8325 30th Avenue NW,47.688945885059,-122.395831868095,Exact,L
8400 NE Paulanna Lane,47.648716805041,-122.539128319554,Exact,L
8402 30th Avenue SW,47.528208884696,-122.371163449938,Exact,L
8409 Heathside Drive NE,,,Nominatim_NoMatch,
8439 7th Avenue SW,47.527895532364,-122.344295073517,Exact,L
8458 Tillicum Road SW,47.528025531896,-122.390268645293,Exact,L
8498 Seaview Place NW,47.690550769712,-122.401959106174,Exact,R
853 Lake Washington Boulevard,47.609219393649,-122.283086543945,Exact,L
8614 32nd Avenue SW,47.52629655776,-122.373859207734,Exact,L
8631 Fauntleroy Way SW,47.526093533208,-122.392850393937,Exact,R
8658 10TH Avenue SW,47.525915765201,-122.347934643088,Exact,L
8700 Fauntleroy Way SW,47.525644723588,-122.392686227167,Exact,L
8728 Hamlet Avenue S,47.525447240205,-122.265867419106,Exact,L
8802 rainier Avenue S,47.523982892352,-122.269904288496,Exact,L
8815 Rainier Avenue S,47.524810365373,-122.270072659538,Exact,R
8826 Interlake Avenue N,47.692625736287,-122.340160747457,Exact,R
8827 Ravenna Avenue NE,47.692516772058,-122.30264928226,Exact,L
8948 Seaview Place NW,47.689144,-122.4017389,Nominatim,
900 N 103rd Street,47.703669378775,-122.347281002538,Exact,L
9000 8th Avenue SW,47.522880189093,-122.345483905016,Exact,L
9013 8th Avenue SW,47.522678008087,-122.34555822587,Exact,R
9026 Burke Avenue N,47.694408750188,-122.335047503557,Exact,R
903 N 130th Street 201,47.723158434346,-122.348028153293,Non_Exact,R
903 N 130th Street 304,47.723158434346,-122.348028153293,Non_Exact,R
9032 18th Avenue SW,47.522529414652,-122.357716891435,Exact,L
9037 37th Avenue S,47.523024767116,-122.28605149748,Exact,R
9052 3rd Avenue NW,47.694736961258,-122.360596206285,Exact,R
9055 2nd Avenue NW,47.694753308359,-122.359450661801,Exact,L
906 1st Avenue W 15,47.627406834057,-122.357910582648,Non_Exact,R
906 E John Street,47.619961729276,-122.320719815507,Exact,L
9060 4th Avenue SW,47.522157609179,-122.34008482485,Exact,L
9106 12th Avenue NE,47.695006291277,-122.314780901233,Exact,R
913 N 72nd Street,47.680991923587,-122.346820243261,Exact,R
917 16th Avenue E,47.62706434995,-122.311372487545,Exact,L
920 SW Holden Street A,47.534133118785,-122.347366095537,Non_Exact,R
9200 2nd Avenue SW 330A,47.520777402454,-122.335707651329,Non_Exact,R
9201 15th Avenue NW,47.696127774702,-122.376881562439,Exact,L
9212 39th Avenue S,47.520590956952,-122.283579791752,Exact,L
923 NW 54th Street,47.667825088529,-122.368912259653,Exact,L
9242 Phinney Avenue N,47.696321964247,-122.353931640392,Exact,R
9273 Fauntleroy Way SW,47.52035234102,-122.393834230777,Exact,R
93 E Boston Street 102,47.638188085504,-122.327263311725,Non_Exact,R
933 NW 97th Street,47.700099086866,-122.369087427647,Exact,L
9428 Ravenna Avenue NE 101,47.69707729923,-122.304998734049,Non_Exact,R
9547 1st Avenue NW,47.699096684553,-122.358155244656,Exact,L
9741 Woodlawn Avenue N C,47.699961736171,-122.338846778064,Non_Exact,L
98 Union Street 1000,47.607844417833,-122.339225925939,Non_Exact,L
980 Cedar Hill Road,,,Nominatim_NoMatch,
9816 31st Avenue SW,47.515131970115,-122.371885319565,Exact,L
9817 55th Avenue S,47.513428446855,-122.264801396801,Exact,R
9904 31st Avenue SW,47.514474752265,-122.371832236748,Exact,L
9910 NW Pioneer Road,,,Nominatim_NoMatch,
